gene	log2FC	pvalue	padj
ENSG00000006704	-0.32665675673539063	0.24454005095685402	
ENSG00000006712	-0.08724845778236823	0.2180018657543402	
ENSG00000006715	-0.01046420857978525	0.9069590307387505	
ENSG00000006740	-0.19879955640683677	0.08903218750363213	
ENSG00000006744	-0.4127764214919134	2.448758620270205e-05	
ENSG00000006747	0.11604204066723556	0.7824948719257487	
ENSG00000006756	0.3044330199654528	0.022197117909189653	
ENSG00000006757	-0.15071857204165795	0.08470799927845014	
ENSG00000006788	0.3180163072324755	0.022688540405084157	
ENSG00000006831	0.237916714182405	0.011201613381821558	
ENSG00000006837	0.22613077045570806	0.10594631792244963	
ENSG00000007001	1.7860287911293504	0.019940533516186517	
ENSG00000007038	-0.5109331280532086	0.4304964647565398	
ENSG00000007047	0.050050146712069754	0.7258547654384384	
ENSG00000007062	0.9862370248912224	0.0022102162435180647	
ENSG00000007080	-0.2061926975533579	0.11149633169087286	
ENSG00000007129	0.08601605503942422	0.7117724827150516	
ENSG00000007168	-0.2098242092214413	0.010473778298265225	
ENSG00000007171	0.2643132767499452	0.5558942032355612	
ENSG00000007174	0.31865724705405407	0.6981918629220067	
ENSG00000007202	-0.19588442221334734	0.009914610658262053	
ENSG00000007216	1.6595555702195952	0.09336443535871777	
ENSG00000007237	0.09842609447680761	0.601860435160061	
ENSG00000007255	0.4963273449865029	2.2463629964063785e-05	
ENSG00000007264	-0.26402881980344417	0.5175287973738086	
ENSG00000007306	-0.29150728820330585	0.8321716600770434	
ENSG00000007312	-0.6271332677637402	0.005898328815755504	
ENSG00000007314	-0.22556252480292838	0.3399291911657415	
ENSG00000007341	-0.2527807568917009	0.011279267482713577	
ENSG00000007350	-0.025290970917577482	0.8889360750629308	
ENSG00000007372	2.4543320231727814	0.000192902041450667	
ENSG00000007376	-0.08369628462390333	0.5758163472222999	
ENSG00000007384	0.25459612615848926	0.01607725559955942	
ENSG00000007392	0.30337093866899867	0.0003414082867161083	
ENSG00000007402	0.6531441576266626	0.0013571683037955258	
ENSG00000007516	0.3898416389973405	0.054282372157436296	
ENSG00000007520	-0.08338112269490239	0.31520613105645057	
ENSG00000007541	0.48515035520866867	0.005015803729932913	
ENSG00000007545	0.2855848120939224	0.012331950213187502	
ENSG00000007866	0.2494324628153599	0.008251878714088218	
ENSG00000007908	0.03528834091752392	0.9514039224725995	
ENSG00000007923	-0.4560230459858712	1.5046068521842852e-05	
ENSG00000007933	0.48140398801400774	0.03264530116442814	
ENSG00000007944	0.6619286823296737	7.336037766888034e-08	
ENSG00000007952	-0.4238955555113266	0.729620391077233	
ENSG00000007968	-0.9125030885451593	0.11514794561572615	
ENSG00000008018	0.07422006954434579	0.14333523837578885	
ENSG00000008056	-0.2203477673645864	0.050162421055901414	
ENSG00000008083	0.2177536946646237	0.18401548527139894	
ENSG00000008086	-0.19813534200329175	0.19939453982254174	
ENSG00000008118	0.9101173065592674	0.16274061543185517	
ENSG00000008128	-0.25552931079939434	0.009755539735648211	
ENSG00000008130	0.0588391522649756	0.5982705219148572	
