GeneID	Symbol	Description	log2(fold change)(Control vs DCM)	-log10(Pvalue)(Control vs DCM)
91272	BOD1	biorientation of chromosomes in cell division 1	0.225	2.029
51617	NSG2	neuronal vesicle trafficking associated 2	-0.807	1.659
4488	MSX2	msh homeobox 2	-0.438	2.925
94081	SFXN1	sideroflexin 1	0.182	1.839
107986485	LOC107986485		1.171	2.054
57179	KIAA1191	KIAA1191	-0.211	1.675
51491	NOP16	NOP16 nucleolar protein	0.444	3.425
1212	CLTB	clathrin light chain B	0.307	2.9
112267951	LOC112267951		0.448	1.922
114787	GPRIN1	G protein regulated inducer of neurite outgrowth 1	0.528	1.801
26262	TSPAN17	tetraspanin 17	0.31	3.194
3101	HK3	hexokinase 3	0.938	3.53
23567	ZNF346	zinc finger protein 346	-0.204	3.069
2264	FGFR4	fibroblast growth factor receptor 4	1.035	3.426
64324	NSD1	nuclear receptor binding SET domain protein 1	0.303	4.882
80758	PRR7	proline rich 7, synaptic	-1.3	6.18
1627	DBN1	drebrin 1	-0.521	3.667
9260	PDLIM7	PDZ and LIM domain 7	-0.483	1.609
55651	NHP2	NHP2 ribonucleoprotein	0.284	2.959
3182	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	0.408	6.644
85007	PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase	-0.166	2.045
6940	ZNF354A	zinc finger protein 354A	0.478	6.688
117608	ZNF354B	zinc finger protein 354B	0.292	1.936
345462	ZNF879	zinc finger protein 879	0.285	2.219
30832	ZNF354C	zinc finger protein 354C	0.143	2.152
80230	RUFY1	RUN and FYVE domain containing 1	0.293	6.652
3187	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1	0.16	1.915
821	CANX	calnexin	0.19	1.681
4056	LTC4S	leukotriene C4 synthase	-1.372	10.683
55819	RNF130	ring finger protein 130	0.267	4.774
5601	MAPK9	mitogen-activated protein kinase 9	0.252	2.746
2324	FLT4	fms related receptor tyrosine kinase 4	-0.352	1.662
81786	TRIM7	tripartite motif containing 7	-0.331	1.794
90933	TRIM41	tripartite motif containing 41	-0.279	3.313
100507602	TRIM52-AS1	TRIM52 antisense RNA 1 (head to head)	0.591	2.806
105377771	LOC105377771		-0.348	1.43
100132062	LOC100132062	uncharacterized LOC100132062	-0.605	4.126
56940	DUSP22	dual specificity phosphatase 22	0.15	1.761
2296	FOXC1	forkhead box C1	-0.626	3.817
340156	MYLK4	myosin light chain kinase family member 4	0.264	1.671
1992	SERPINB1	serpin family B member 1	0.313	4.178
5272	SERPINB9	serpin family B member 9	-0.581	6.086
5269	SERPINB6	serpin family B member 6	0.364	5.283
4835	NQO2	N-ribosyldihydronicotinamide:quinone reductase 2	0.556	2.156
401233	HTATSF1P2	HIV-1 Tat specific factor 1 pseudogene 2	0.594	2.585
670	BPHL	biphenyl hydrolase like	-0.353	2.368
7280	TUBB2A	tubulin beta 2A class IIa	0.457	2.403
347733	TUBB2B	tubulin beta 2B class IIb	0.524	2.917
221749	PXDC1	PX domain containing 1	-0.276	1.6
8899	PRPF4B	pre-mRNA processing factor 4B	0.174	1.327
404220	TEX56P	testis expressed 56, pseudogene	0.271	2.395
100507506	ECI2-DT	ECI2 divergent transcript	-0.511	2.347
9425	CDYL	chromodomain Y like	0.218	3.079
10799	RPP40	ribonuclease P/MRP subunit p40	0.475	3.124
100129461	LYRM4-AS1	LYRM4 antisense RNA 1	0.7	3.83
648791	PPP1R3G	protein phosphatase 1 regulatory subunit 3G	0.401	2.283
10667	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial	0.243	3.066
2162	F13A1	coagulation factor XIII A chain	0.779	1.906
101928004	LOC101928004	uncharacterized LOC101928004	-0.421	1.755
101928076	DSP-AS1	DSP antisense RNA 1	0.297	1.522
1832	DSP	desmoplakin	0.627	7.904
154007	SNRNP48	small nuclear ribonucleoprotein U11/U12 subunit 48	0.393	3.891
654	BMP6	bone morphogenetic protein 6	-0.465	1.41
55003	PAK1IP1	PAK1 interacting protein 1	0.427	6.141
51406	NOL7	nucleolar protein 7	0.207	2.802
10048	RANBP9	RAN binding protein 9	0.177	2.974
63933	MCUR1	mitochondrial calcium uniporter regulator 1	0.259	3.061
84062	DTNBP1	dystrobrevin binding protein 1	0.241	1.433
29116	MYLIP	myosin regulatory light chain interacting protein	-0.45	4.671
2766	GMPR	guanosine monophosphate reductase	0.526	5.115
51439	FAM8A1	family with sequence similarity 8 member A1	0.193	1.478
63971	KIF13A	kinesin family member 13A	-0.461	3.959
378884	NHLRC1	NHL repeat containing E3 ubiquitin protein ligase 1	-0.743	3.531
7172	TPMT	thiopurine S-methyltransferase	0.255	2.654
7913	DEK	DEK proto-oncogene	0.294	2.281
3400	ID4	inhibitor of DNA binding 4	-0.968	1.804
401237	CASC15	cancer susceptibility 15	-0.479	1.621
57380	MRS2	magnesium transporter MRS2	0.29	2.203
51567	TDP2	tyrosyl-DNA phosphodiesterase 2	0.178	3.045
55856	ACOT13	acyl-CoA thioesterase 13	0.518	10.876
81688	C6orf62	chromosome 6 open reading frame 62	-0.413	5.274
51053	GMNN	geminin DNA replication inhibitor	0.615	7.927
9750	RIPOR2	RHO family interacting cell polarization regulator 2	-1.12	4.968
55604	CARMIL1	capping protein regulator and myosin 1 linker 1	-0.766	2.474
10590	SCGN	secretagogin, EF-hand calcium binding protein	1.193	1.433
3006	H1-2	H1.2 linker histone, cluster member	0.776	4.964
3017	H2BC5	H2B clustered histone 5	0.829	7.832
8367	H4C5	H4 clustered histone 5	-0.848	2.66
11119	BTN3A1	butyrophilin subfamily 3 member A1	-0.442	1.515
107986583	LOC107986583	uncharacterized LOC107986583	-0.211	1.32
493812	HCG11	HLA complex group 11	-0.313	2.669
8970	H2BC11	H2B clustered histone 11	0.944	4.272
7754	ZNF204P	zinc finger protein 204, pseudogene	0.413	2.918
8330	H2AC15	H2A clustered histone 15	-1.233	7.846
100129195	ZSCAN16-AS1	ZSCAN16 antisense RNA 1	-0.258	1.44
80345	ZSCAN16	zinc finger and SCAN domain containing 16	0.335	2.569
222698	NKAPL	NFKB activating protein like	0.294	1.76
114821	SCAND3	SCAN domain containing 3	0.757	3.586
5987	TRIM27	tripartite motif containing 27	-0.294	6.357
4340	MOG	myelin oligodendrocyte glycoprotein	1.801	5.66
3134	HLA-F	major histocompatibility complex, class I, F	-0.447	3.464
3136	HLA-H	major histocompatibility complex, class I, H (pseudogene)	-0.507	3.916
3105	HLA-A	major histocompatibility complex, class I, A	-0.337	1.42
3137	HLA-J	major histocompatibility complex, class I, J (pseudogene)	-0.71	3.53
30834	POLR1H	RNA polymerase I subunit H	-0.392	3.454
6992	PPP1R11	protein phosphatase 1 regulatory inhibitor subunit 11	0.376	7.804
80352	RNF39	ring finger protein 39	0.699	10.425
3139	HLA-L	major histocompatibility complex, class I, L (pseudogene)	-0.966	2.234
202658	TRIM39-RPP21	TRIM39-RPP21 readthrough	0.17	1.668
79897	RPP21	ribonuclease P/MRP subunit p21	0.313	2.803
3133	HLA-E	major histocompatibility complex, class I, E	-0.407	4.595
2794	GNL1	G protein nucleolar 1 (putative)	-0.346	6.15
80742	PRR3	proline rich 3	-0.21	1.831
23	ABCF1	ATP binding cassette subfamily F member 1	0.119	1.371
5514	PPP1R10	protein phosphatase 1 regulatory subunit 10	-0.519	4.753
79969	ATAT1	alpha tubulin acetyltransferase 1	-0.409	3.307
221545	C6orf136	chromosome 6 open reading frame 136	0.189	1.794
203068	TUBB	tubulin beta class I	0.382	2.328
10211	FLOT1	flotillin 1	0.337	6.581
105379695	IER3-AS1	IER3 antisense RNA 1	-1.31	3.927
8870	IER3	immediate early response 3	-1.389	3.412
105375013	HCG20	HLA complex group 20	-0.769	1.685
780	DDR1	discoidin domain receptor tyrosine kinase 1	-0.511	2.55
57176	VARS2	valyl-tRNA synthetase 2, mitochondrial	-0.315	2.244
5460	POU5F1	POU class 5 homeobox 1	-0.475	1.411
253018	HCG27	HLA complex group 27	-0.419	1.625
3106	HLA-B	major histocompatibility complex, class I, B	-0.406	2.379
100532737	ATP6V1G2-DDX39B	ATP6V1G2-DDX39B readthrough (NMD candidate)	-0.368	9.593
7919	DDX39B	DExD-box helicase 39B	-0.369	9.624
534	ATP6V1G2	ATPase H+ transporting V1 subunit G2	-0.626	4.924
199	AIF1	allograft inflammatory factor 1	0.771	3.466
7918	GPANK1	G-patch domain and ankyrin repeats 1	0.226	2.53
58496	LY6G5B	lymphocyte antigen 6 family member G5B	-0.307	1.794
7920	ABHD16A	abhydrolase domain containing 16A, phospholipase	-0.124	1.431
105375018	LOC105375018	uncharacterized LOC105375018	-0.699	2.881
80739	MPIG6B	megakaryocyte and platelet inhibitory receptor G6b	-0.433	1.42
23564	DDAH2	dimethylarginine dimethylaminohydrolase 2	-0.422	2.651
1192	CLIC1	chloride intracellular channel 1	0.284	1.715
100532732	MSH5-SAPCD1	MSH5-SAPCD1 readthrough (NMD candidate)	-0.319	2.729
401251	SAPCD1	suppressor APC domain containing 1	-0.563	4.002
80737	VWA7	von Willebrand factor A domain containing 7	-0.401	2.617
104413891	SAPCD1-AS1	SAPCD1 antisense RNA 1	-0.449	2.528
50854	SNHG32	small nucleolar RNA host gene 32	-0.374	3.823
4758	NEU1	neuraminidase 1	0.214	1.312
629	CFB	complement factor B	0.604	1.564
6499	SKIC2	SKI2 subunit of superkiller complex	-0.161	1.648
1590	CYP21A1P	cytochrome P450 family 21 subfamily A member 1, pseudogene	-0.736	4.568
7146	TNXA	tenascin XA (pseudogene)	-0.902	8.527
1589	CYP21A2	cytochrome P450 family 21 subfamily A member 2	-0.765	4.555
7148	TNXB	tenascin XB	-0.879	7.371
63943	FKBPL	FKBP prolyl isomerase like	0.409	2.949
80863	PRRT1	proline rich transmembrane protein 1	-0.395	1.694
100532746	PPT2-EGFL8	PPT2-EGFL8 readthrough (NMD candidate)	-0.206	2.863
80864	EGFL8	EGF like domain multiple 8	-0.215	2.097
6048	RNF5	ring finger protein 5	0.201	1.805
177	AGER	advanced glycosylation end-product specific receptor	-0.537	4.457
5089	PBX2	PBX homeobox 2	0.224	3.089
3122	HLA-DRA	major histocompatibility complex, class II, DR alpha	-0.569	2.185
3128	HLA-DRB6	major histocompatibility complex, class II, DR beta 6 (pseudogene)	-0.584	1.778
3123	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	-0.589	1.897
107986589	LOC107986589		-0.758	1.356
3117	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	-0.985	2.257
3119	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	-0.963	2.167
106480429	HLA-DQB1-AS1	HLA-DQB1 antisense RNA 1	-0.977	2.019
3120	HLA-DQB2	major histocompatibility complex, class II, DQ beta 2	-0.759	2.543
100294145	LOC100294145	uncharacterized LOC100294145	0.341	2.182
3113	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	-0.518	1.764
3115	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	-0.601	2.409
3116	HLA-DPB2	major histocompatibility complex, class II, DP beta 2 (pseudogene)	-2.107	9.263
1302	COL11A2	collagen type XI alpha 2 chain	-0.835	3.464
6257	RXRB	retinoid X receptor beta	-0.302	7.702
7922	SLC39A7	solute carrier family 39 member 7	0.241	2.914
7923	HSD17B8	hydroxysteroid 17-beta dehydrogenase 8	-0.467	4.137
10471	PFDN6	prefoldin subunit 6	0.501	5.211
6892	TAPBP	TAP binding protein	-0.432	7.636
3833	KIFC1	kinesin family member C1	1.543	4.315
3159	HMGA1	high mobility group AT-hook 1	0.38	2.998
221491	SMIM29	small integral membrane protein 29	-0.398	3.275
29993	PACSIN1	protein kinase C and casein kinase substrate in neurons 1	0.486	1.598
64771	ILRUN	inflammation and lipid regulator with UBA-like and NBR1-like domains	0.633	12.256
101929243	ILRUN-AS1	ILRUN antisense RNA 1	0.352	4.608
6631	SNRPC	small nuclear ribonucleoprotein polypeptide C	0.423	5.91
54887	BLTP3A	bridge-like lipid transfer protein family member 3A	0.425	4.604
2178	FANCE	FA complementation group E	0.347	2.101
7005	TEAD3	TEA domain transcription factor 3	-0.244	1.449
6732	SRPK1	SRSF protein kinase 1	0.348	5.362
27154	BRPF3	bromodomain and PHD finger containing 3	0.438	5.196
222658	KCTD20	potassium channel tetramerization domain containing 20	0.184	2.664
101154753	PANDAR	promoter of CDKN1A antisense DNA damage activated RNA	0.59	4.244
221477	C6orf89	chromosome 6 open reading frame 89	0.264	3.534
51645	PPIL1	peptidylprolyl isomerase like 1	0.737	5.97
221476	PI16	peptidase inhibitor 16	-2.687	15.094
9025	RNF8	ring finger protein 8	0.332	5.899
23070	CMTR1	cap methyltransferase 1	-0.123	1.968
266727	MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1	0.487	1.329
89822	KCNK17	potassium two pore domain channel subfamily K member 17	-2.072	4.106
4337	MOCS1	molybdenum cofactor synthesis 1	0.373	3.462
222643	UNC5CL	unc-5 family C-terminal like	-0.263	1.473
10930	APOBEC2	apolipoprotein B mRNA editing enzyme catalytic subunit 2	0.726	7.129
221442	ADCY10P1	ADCY10 pseudogene 1	-0.4	1.641
129685	TAF8	TATA-box binding protein associated factor 8	0.24	1.841
647024	C6orf132	chromosome 6 open reading frame 132	0.477	3.109
55173	MRPS10	mitochondrial ribosomal protein S10	0.207	1.986
105375063	LOC105375063		0.929	3.034
107080644	CNPY3-GNMT	CNPY3-GNMT readthrough	0.924	11.865
27232	GNMT	glycine N-methyltransferase	2.168	7.967
4201	MEA1	male-enhanced antigen 1	0.207	2.513
5528	PPP2R5D	protein phosphatase 2 regulatory subunit B'delta	0.237	3.323
116138	KLHDC3	kelch domain containing 3	0.289	1.918
88745	RRP36	ribosomal RNA processing 36	0.271	3.586
9820	CUL7	cullin 7	-0.265	1.914
112267958	KLC4-AS1	KLC4 antisense RNA 1	-0.343	2.541
5754	PTK7	protein tyrosine kinase 7 (inactive)	-0.884	4.743
23113	CUL9	cullin 9	-0.166	2.043
10591	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	-0.348	1.902
10864	SLC22A7	solute carrier family 22 member 7	-1.624	3.282
401262	CRIP3	cysteine rich protein 3	-0.976	1.715
24149	ZNF318	zinc finger protein 318	0.458	6.156
65989	DLK2	delta like non-canonical Notch ligand 2	-0.71	1.565
93643	TJAP1	tight junction associated protein 1	-0.361	7.363
5429	POLH	DNA polymerase eta	-0.246	2.421
101929705	SCIRT	stem cell inhibitory RNA transcript	-0.833	5.035
64928	MRPL14	mitochondrial ribosomal protein L14	0.244	2.185
55362	TMEM63B	transmembrane protein 63B	0.487	10.119
107986599	LOC107986599	uncharacterized LOC107986599	0.206	1.401
2030	SLC29A1	solute carrier family 29 member 1 (Augustine blood group)	0.457	4.411
100616124	MIR4647	microRNA 4647	-0.868	5.106
22875	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4	0.255	1.305
10231	RCAN2	regulator of calcineurin 2	0.193	1.843
4594	MMUT	methylmalonyl-CoA mutase	0.289	3.844
85315	PAQR8	progestin and adipoQ receptor family member 8	-0.377	1.825
114327	EFHC1	EF-hand domain containing 1	-0.318	3.147
401264	TRAM2-AS1	TRAM2 antisense RNA 1 (head to head)	-0.339	4.167
730101	LOC730101	uncharacterized LOC730101	-0.602	1.646
125050	RN7SK	RNA component of 7SK nuclear ribonucleoprotein	-0.926	1.832
26268	FBXO9	F-box protein 9	-0.376	5.226
401265	KLHL31	kelch like family member 31	0.62	2.816
55227	LRRC1	leucine rich repeat containing 1	-0.486	3.47
101927189	LOC101927189	uncharacterized LOC101927189	-0.957	2.709
90523	MLIP	muscular LMNA interacting protein	0.284	1.33
107986606	LOC107986606	uncharacterized LOC107986606	-0.556	2.749
222584	FAM83B	family with sequence similarity 83 member B	1.995	2.265
81578	COL21A1	collagen type XXI alpha 1 chain	-0.685	4.659
9532	BAG2	BAG cochaperone 2	0.254	1.499
106660612	LINC00680	long intergenic non-protein coding RNA 680	-0.266	1.354
101927293	LOC101927293	uncharacterized LOC101927293	-0.73	1.382
23469	PHF3	PHD finger protein 3	0.336	3.382
441155	ZC3H11C	zinc finger CCCH-type containing 11C	0.172	1.467
1297	COL9A1	collagen type IX alpha 1 chain	-1.654	6.898
79627	OGFRL1	opioid growth factor receptor like 1	-0.399	1.361
115004	CGAS	cyclic GMP-AMP synthase	-0.362	1.539
25821	MTO1	mitochondrial tRNA translation optimization 1	0.273	4.665
1915	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	-0.559	3.354
26503	SLC17A5	solute carrier family 17 member 5	-0.328	2.72
101928489	CD109-AS1	CD109 antisense RNA 1	0.627	1.895
135228	CD109	CD109 molecule	0.753	5.178
1303	COL12A1	collagen type XII alpha 1 chain	-0.971	4.094
100506804	TMEM30A-DT	TMEM30A divergent transcript	-0.492	2.072
26054	SENP6	SUMO specific peptidase 6	0.182	2.271
101928601	MEI4	meiotic double-stranded break formation protein 4	1.13	3.149
134728	IRAK1BP1	interleukin 1 receptor associated kinase 1 binding protein 1	0.357	2.266
9324	HMGN3	high mobility group nucleosomal binding domain 3	0.371	2.784
100288198	HMGN3-AS1	HMGN3 antisense RNA 1	0.493	4.854
83699	SH3BGRL2	SH3 domain binding glutamate rich protein like 2	-0.384	1.466
6785	ELOVL4	ELOVL fatty acid elongase 4	-0.543	1.333
7272	TTK	TTK protein kinase	1.378	2.92
594	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	0.434	3.911
7162	TPBG	trophoblast glycoprotein	-0.373	1.36
4199	ME1	malic enzyme 1	0.609	9.734
167681	PRSS35	serine protease 35	-1.647	3.385
112609	MRAP2	melanocortin 2 receptor accessory protein 2	-1.046	2.207
22832	CEP162	centrosomal protein 162	0.272	1.877
4907	NT5E	5'-nucleotidase ecto	-0.955	3.567
57231	SNX14	sorting nexin 14	0.111	1.42
10492	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein	0.16	2.443
107986532	LOC107986532		0.643	3.425
23036	ZNF292	zinc finger protein 292	0.423	2.533
57150	SMIM8	small integral membrane protein 8	-0.232	1.619
55122	AKIRIN2	akirin 2	-0.303	2.912
135295	SRSF12	serine and arginine rich splicing factor 12	-0.746	1.687
2570	GABRR2	gamma-aminobutyric acid type A receptor subunit rho2	0.656	2.992
51465	UBE2J1	ubiquitin conjugating enzyme E2 J1	0.246	2.782
58528	RRAGD	Ras related GTP binding D	0.298	1.874
22881	ANKRD6	ankyrin repeat domain 6	0.263	2.171
57226	LYRM2	LYR motif containing 2	0.179	3.053
101929057	MDN1-AS1	MDN1 antisense RNA 1	0.425	2.151
23195	MDN1	midasin AAA ATPase 1	0.352	2.524
9994	CASP8AP2	caspase 8 associated protein 2	0.387	3.705
60468	BACH2	BTB domain and CNC homolog 2	-0.822	8.172
107986625	LOC107986625	uncharacterized LOC107986625	0.577	1.836
2045	EPHA7	EPH receptor A7	-0.75	2.472
81491	GPR63	G protein-coupled receptor 63	-0.597	2.817
29078	NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4	0.472	4.885
114792	KLHL32	kelch like family member 32	0.982	4.585
26235	FBXL4	F-box and leucine rich repeat protein 4	0.407	3.901
51805	COQ3	coenzyme Q3, methyltransferase	0.316	2.228
892	CCNC	cyclin C	-0.143	1.447
154442	BVES-AS1	BVES antisense RNA 1	0.33	1.837
64208	POPDC3	popeye domain containing 3	0.354	2.862
105377920	LOC105377920		-0.368	2.842
639	PRDM1	PR/SET domain 1	-0.442	1.32
9474	ATG5	autophagy related 5	0.158	2.382
55278	QRSL1	glutaminyl-tRNA amidotransferase subunit QRSL1	0.333	2.485
51250	MTRES1	mitochondrial transcription rescue factor 1	0.305	3.629
8724	SNX3	sorting nexin 3	0.197	2.908
2309	FOXO3	forkhead box O3	-0.454	1.648
387111	LINC00222	long intergenic non-protein coding RNA 222	-1.192	1.962
285753	CEP57L1	centrosomal protein 57 like 1	0.262	2.377
221262	CCDC162P	coiled-coil domain containing 162, pseudogene	0.661	2.132
221264	AK9	adenylate kinase 9	0.824	12.249
9896	FIG4	FIG4 phosphoinositide 5-phosphatase	0.235	2.398
8936	WASF1	WASP family member 1	0.713	2.633
51362	CDC40	cell division cycle 40	0.183	3.374
728464	METTL24	methyltransferase like 24	-0.361	1.486
8528	DDO	D-aspartate oxidase	0.283	2.352
112495	GTF3C6	general transcription factor IIIC subunit 6	0.366	5.524
84154	RPF2	ribosome production factor 2 homolog	0.326	4.791
91749	MFSD4B	major facilitator superfamily domain containing 4B	-0.297	2.338
643749	TRAF3IP2-AS1	TRAF3IP2 antisense RNA 1	-0.341	2.6
102724646	LOC102724646	uncharacterized LOC102724646	-0.462	1.371
8838	CCN6	cellular communication network factor 6	-0.802	2.299
619208	FAM229B	family with sequence similarity 229 member B	0.343	2.952
728402	TPI1P3	triosephosphate isomerase 1 pseudogene 3	0.562	5.232
221294	NT5DC1	5'-nucleotidase domain containing 1	0.269	2.381
1300	COL10A1	collagen type X alpha 1 chain	-0.797	1.822
7259	TSPYL1	TSPY like 1	-0.247	3.43
100287467	LOC100287467	uncharacterized LOC100287467	-0.498	1.874
51389	RWDD1	RWD domain containing 1	0.656	13.454
221302	ZUP1	zinc finger containing ubiquitin peptidase 1	0.283	3.039
245806	VGLL2	vestigial like family member 2	-2.854	3.86
285761	DCBLD1	discoidin, CUB and LCCL domain containing 1	0.217	2.677
387119	CEP85L	centrosomal protein 85 like	1.133	6.528
5350	PLN	phospholamban	0.357	2.942
107986524	LOC107986524	uncharacterized LOC107986524	-1.11	2.922
25842	ASF1A	anti-silencing function 1A histone chaperone	0.349	4.631
79632	FAM184A	family with sequence similarity 184 member A	0.989	3.616
105377979	LOC105377979	uncharacterized LOC105377979	-1.482	7.863
3298	HSF2	heat shock transcription factor 2	0.284	2.284
10924	SMPDL3A	sphingomyelin phosphodiesterase acid like 3A	0.333	2.026
10345	TRDN	triadin	0.396	5.079
105377984	LOC105377984	uncharacterized LOC105377984	0.9	1.775
105377982	LOC105377982	uncharacterized LOC105377982	0.784	2.259
7955	RNF217-AS1	RNF217 antisense RNA 1 (head to head)	-1.059	4.615
154214	RNF217	ring finger protein 217	-0.568	4.633
7164	TPD52L1	TPD52 like 1	-0.283	1.302
51020	HDDC2	HD domain containing 2	0.375	4.258
